index,description
02.02.11.02.05.,"Sublitoraler Schlickgrund der Nordsee mit endobenthischen Vielborstern (Polychaeta) - vorwiegend gering exponierte, flache Buchten (Wattenmeer) und Ästuare"
02.02.11.02.06.,Sublitoraler Schlickgrund der Nordsee ohne Charakterarten oder der Dominanz von spezifischen funktionalen/taxonomischen Gruppen der Infauna
02.02.11.03.,"Sublitoraler Schlickgrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora und -fauna - vorwiegend gering exponierte, flache Buchten des Wattenmeeres und der Ästuare"
03.,Saisonales Meereis der Nordsee
04.,Pelagial der Ostsee
04.01.,Photisches Pelagial der Ostsee
04.01.01.,"Photisches Pelagial der Ostsee, oberhalb der Halokline"
04.01.02.,"Photisches Pelagial der Ostsee, unterhalb der Halokline"
04.02.,Aphotisches Pelagial der Ostsee
04.02.01.,"Aphotisches Pelagial der Ostsee, oberhalb der Halokline"
04.02.02.,"Aphotisches Pelagial der Ostsee, unterhalb der Halokline"
05.,Benthal der Ostsee
05.01.,Hydrolitorales Benthal der Ostsee (Windwatt)
05.01.01.,Hydrolitoraler Felsen- und Steingrund der Ostsee
05.01.01.01.,Hydrolitoraler Felsen- und Steingrund der Ostsee mit Epibenthos
05.01.01.01.01.,"Hydrolitoraler Felsen- und Steingrund der Ostsee mit mehrjährigen (festsitzenden) Makroalgen, v.a Fucus vesiculosus"
05.01.01.01.02.,"Hydrolitoraler Felsen- und Steingrund der Ostsee mit epibenthischen Krebsen (Crustacea), v.a Seepocken (Balanidae)"
05.01.01.01.03.,Hydrolitoraler Felsen- und Steingrund der Ostsee mit einjährigen (festsitzenden) Makroalgen
05.01.01.02.,Hydrolitoraler Felsen- und Steingrund der Ostsee mit vereinzeltem Epibenthos oder ohne epibenthische Makroflora oder -fauna
05.01.02.,Hydrolitoraler Torfgrund der Ostsee
05.01.03.,Hydrolitorales Mischsubstrat der Ostsee
05.01.03.01.,Hydrolitorales Mischsubstrat der Ostsee mit Epibenthos
05.01.03.01.01.,"Hydrolitorales Mischsubstrat der Ostsee mit wurzelnden Pflanzen - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.01.03.01.02.,"Hydrolitorales Mischsubstrat der Ostsee mit mehrjährigen (festsitzenden) Makroalgen, v.a Fucus vesiculosus"
05.01.03.01.03.,"Hydrolitorales Mischsubstrat der Ostsee mit epibenthischen Krebsen (Crustacea), v.a Seepocken (Balanidae)"
05.01.03.01.04.,Hydrolitorales Mischsubstrat der Ostsee mit einjährigen (festsitzenden) Makroalgen
05.01.03.02.,Hydrolitorales Mischsubstrat der Ostsee mit vereinzeltem Epibenthos oder ohne epibenthische Makroflora oder -fauna
05.01.04.,Hydrolitorales Grobsediment der Ostsee
05.01.04.01.,Hydrolitorales Grobsediment der Ostsee mit Epibenthos
05.01.04.01.01.,"Hydrolitorales Grobsediment der Ostsee mit wurzelnden Pflanzen - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.01.04.01.02.,"Hydrolitorales Grobsediment der Ostsee mit mehrjährigen (festsitzenden) Makroalgen, v.a Fucus vesiculosus"
05.01.04.01.03.,Hydrolitorales Grobsediment der Ostsee mit einjährigen (festsitzenden) Makroalgen
05.01.04.02.,Hydrolitorales Grobsediment der Ostsee mit Infauna
05.01.04.03.,Hydrolitorales Grobsediment der Ostsee mit vereinzeltem Epibenthos oder ohne Makroflora oder -fauna
05.01.05.,Hydrolitoraler Sandgrund der Ostsee
05.01.05.01.,Hydrolitoraler Sandgrund der Ostsee mit Epibenthos
05.01.05.01.01.,"Hydrolitoraler Sandgrund der Ostsee mit wurzelnden Pflanzen - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.01.05.01.02.,Hydrolitoraler Sandgrund der Ostsee mit einjährigen (nicht festsitzenden) Makroalgen
05.01.05.02.,Hydrolitoraler Sandgrund der Ostsee mit Infauna
05.01.05.03.,Hydrolitoraler Sandgrund der Ostsee mit vereinzeltem Epibenthos oder ohne Makroflora oder -fauna
05.01.06.,Hydrolitoraler Schlickgrund der Ostsee
05.01.06.01.,Hydrolitoraler Schlickgrund der Ostsee mit Epibenthos
05.01.06.01.01.,"Hydrolitoraler Schlickgrund der Ostsee mit wurzelnden Pflanzen - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.01.06.01.02.,Hydrolitoraler Schlickgrund der Ostsee mit einjährigen (nicht festsitzenden) Makroalgen
05.01.06.02.,Hydrolitoraler Schlickgrund der Ostsee mit Infauna
05.01.06.03.,Hydrolitoraler Schlickgrund der Ostsee mit vereinzeltem Epibenthos oder ohne Makroflora oder -fauna
05.02.,Sublitorales Benthal der Ostsee
05.02.01.,Sublitoraler Felsen- und Steingrund der Ostsee
05.02.01.01.,Sublitoraler Felsen- und Steingrund der Ostsee mit Epibenthos
05.02.01.01.01.,Sublitoraler Felsen- und Steingrund der Ostsee mit mehrjährigen (festsitzenden) Makroalgen
05.02.01.01.01.01.,Sublitoraler Felsen- und Steingrund der Ostsee mit Fucus
05.02.01.01.01.02.,Sublitoraler Felsen- und Steingrund der Ostsee mit Furcellaria lumbricalis
05.02.01.01.01.03.,Sublitoraler Felsen- und Steingrund der Ostsee mit Laminaria/Saccharina - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.01.01.01.04.,"Sublitoraler Felsen- und Steingrund der Ostsee mit mehrjährigen, blattförmigen Rotalgen (Coccotylus/Delesseria/ Phyllophora/ Phycodrys) - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.01.01.02.,"Sublitoraler Felsen- und Steingrund der Ostsee mit epibenthischen Krebsen (Crustacea), v.a Seepocken (Balanidae)"
05.02.01.01.03.,Sublitoraler Felsen- und Steingrund der Ostsee mit epibenthischen Muscheln (Bivalvia)
05.02.01.01.03.01.,Sublitoraler Felsen- und Steingrund der Ostsee mit Miesmuscheln (Mytilus)
