index,description
05.02.01.01.03.02.,"Sublitoraler Felsen- und Steingrund der Ostsee mit Wandermuscheln (Dreissena polymorpha) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.01.01.04.,Sublitoraler Felsen- und Steingrund der Ostsee mit Moostierchen (Bryozoa) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.01.01.05.,Sublitoraler Felsen- und Steingrund der Ostsee mit Nesseltieren (Cnidaria)
05.02.01.01.05.01.,Sublitoraler Felsen- und Steingrund der Ostsee mit Blumentieren (Anthozoa) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.01.01.05.02.,Sublitoraler Felsen- und Steingrund der Ostsee mit Hydroidpolypen (Hydrozoa)
05.02.01.01.06.,Sublitoraler Felsen- und Steingrund der Ostsee mit Schwämmen (Porifera) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.01.01.07.,Sublitoraler Felsen- und Steingrund der Ostsee mit Seescheiden (Ascidiacea) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.01.01.08.,Sublitoraler Felsen- und Steingrund der Ostsee mit einjährigen (festsitzenden) Makroalgen
05.02.01.02.,"Sublitoraler Felsen- und Steingrund der Ostsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora und -fauna"
05.02.02.,"Sublitoraler, aufragender Geschiebemergelgrund der Ostsee - vorwiegend an exponierten Küstenabschnitten der offenen Ostsee"
05.02.03.,"Sublitoraler, ebener Geschiebemergelgrund der Ostsee - vorwiegend an exponierten Küstenabschnitten der offenen Ostsee"
05.02.04.,Sublitoraler Schillgrund der Ostsee
05.02.05.,Sublitoraler Torfgrund der Ostsee
05.02.06.,Sublitorales Mischsubstrat der Ostsee
05.02.06.01.,Sublitorales Mischsubstrat der Ostsee mit Epibenthos
05.02.06.01.01.,Sublitorales Mischsubstrat der Ostsee mit wurzelnden Pflanzen
05.02.06.01.01.01.,"Sublitorales Mischsubstrat der Ostsee mit Armleuchteralgen (Characeae) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.06.01.01.02.,"Sublitorales Mischsubstrat der Ostsee mit Laichkräutern (Potamogeton/Stuckenia) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.06.01.01.03.,"Sublitorales Mischsubstrat der Ostsee mit Meersalden (Ruppia) - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.06.01.01.04.,Sublitorales Mischsubstrat der Ostsee mit Seegräsern (Zostera-Seegraswiesen)
05.02.06.01.01.05.,"Sublitorales Mischsubstrat der Ostsee mit Teichfaden (Zannichellia palustris) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.06.01.02.,Sublitorales Mischsubstrat der Ostsee mit mehrjährigen (festsitzenden) Makroalgen
05.02.06.01.02.01.,Sublitorales Mischsubstrat der Ostsee mit Fucus
05.02.06.01.02.02.,Sublitorales Mischsubstrat der Ostsee mit Furcellaria lumbricalis
05.02.06.01.02.03.,Sublitorales Mischsubstrat der Ostsee mit Laminaria/Saccharina - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.06.01.02.04.,"Sublitorales Mischsubstrat der Ostsee mit mehrjährigen, blattförmigen Rotalgen (Coccotylus/ Delesseria/Phyllophora/ Phycodrys) - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.06.01.03.,"Sublitorales Mischsubstrat der Ostsee mit epibenthischen Krebsen (Crustacea), v.a Seepocken (Balanidae)"
05.02.06.01.04.,Sublitorales Mischsubstrat der Ostsee mit epibenthischen Muscheln
05.02.06.01.04.01.,Sublitorales Mischsubstrat der Ostsee mit Miesmuscheln (Mytilus)
05.02.06.01.04.02.,"Sublitorales Mischsubstrat der Ostsee mit Wandermuscheln (Dreissena polymorpha) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.06.01.05.,Sublitorales Mischsubstrat der Ostsee mit Moostierchen (Bryozoa) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.06.01.06.,Sublitorales Mischsubstrat der Ostsee mit Nesseltieren (Cnidaria)
05.02.06.01.06.01.,Sublitorales Mischsubstrat der Ostsee mit Blumentieren (Anthozoa) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.06.01.06.02.,Sublitorales Mischsubstrat der Ostsee mit Hydroidpolypen (Hydrozoa)
05.02.06.01.07.,Sublitorales Mischsubstrat der Ostsee mit Schwämmen (Porifera) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.06.01.08.,Sublitorales Mischsubstrat der Ostsee mit Seescheiden (Ascidiacea) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.06.01.09.,"Sublitorales Mischsubstrat der Ostsee mit mehrjährigen (nicht festsitzenden) Makroalgen - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.06.01.10.,Sublitorales Mischsubstrat der Ostsee mit einjährigen (festsitzenden) Makroalgen
05.02.06.02.,"Sublitorales Mischsubstrat der Ostsee mit vereinzeltem Epibenthos, Weidegängern oder ohne epibenthische Makroflora oder -fauna"
05.02.07.,Sublitorale Grobsedimentbank der Ostsee (Sandbank-Komplex)
05.02.08.,"Sublitorales, ebenes Grobsediment der Ostsee"
05.02.08.01.,"Sublitorales, ebenes Grobsediment der Ostsee mit Epibenthos"
05.02.08.01.01.,"Sublitorales, ebenes Grobsediment der Ostsee mit wurzelnden Pflanzen"
05.02.08.01.01.01.,"Sublitorales, ebenes Grobsediment der Ostsee mit Laichkräutern (Potamogeton/Stuckenia) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.08.01.01.02.,"Sublitorales, ebenes Grobsediment der Ostsee mit Meersalden (Ruppia) - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.08.01.01.03.,"Sublitorales, ebenes Grobsediment der Ostsee mit Seegräsern (Zostera-Seegraswiesen)"
05.02.08.01.02.,"Sublitorales, ebenes Grobsediment der Ostsee mit mehrjährigen (festsitzenden) Makroalgen"
05.02.08.01.02.01.,"Sublitorales, ebenes Grobsediment der Ostsee mit Fucus"
05.02.08.01.02.02.,"Sublitorales, ebenes Grobsediment der Ostsee mit Laminaria/Saccharina - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.08.01.02.03.,"Sublitorales, ebenes Grobsediment der Ostsee mit mehrjährigen, blattförmigen Rotalgen (Coccotylus/Delesseria/Phyllophora/ Phycodrys) - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.08.01.03.,"Sublitorales, ebenes Grobsediment der Ostsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia) (biogenes Riff)"
05.02.08.01.03.01.,"Sublitorales, ebenes Grobsediment der Ostsee mit (lagestabilen) Miesmuscheln (Mytilus) (biogenes Riff)"
05.02.08.01.03.02.,"Sublitorales, ebenes Grobsediment der Ostsee mit (lagestabilen) Wandermuscheln (Dreissena polymorpha) (biogenes Riff) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.08.01.04.,"Sublitorales, ebenes Grobsediment der Ostsee mit Seescheiden (Ascidiacea) - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.08.01.05.,"Sublitorales, ebenes Grobsediment der Ostsee mit einjährigen (festsitzenden) Makroalgen"
05.02.08.02.,"Sublitorales, ebenes Grobsediment der Ostsee mit Infauna"
05.02.08.02.01.,"Sublitorales, ebenes Grobsediment der Ostsee mit mariner Muschel-Gemeinschaft (Mya truncata, Macoma calcarea, Spisula spp., Astarte spp.) - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.08.02.02.,"Sublitorales, ebenes Grobsediment der Ostsee mit Ophelia-Travisia-Gemeinschaft - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.08.02.03.,"Sublitorales, ebenes Grobsediment der Ostsee mit endobenthischen Krebsen (Crustacea)"
05.02.08.02.04.,"Sublitorales, ebenes Grobsediment der Ostsee mit endobenthischen Vielborstern (Polychaeta)"
05.02.08.02.05.,"Sublitorales, ebenes Grobsediment der Ostsee ohne Charakterarten oder der Dominanz von spezifischen funktionalen/taxonomischen Gruppen der Infauna"
05.02.08.03.,"Sublitorales, ebenes Grobsediment der Ostsee mit vereinzeltem Epibenthos, Weidegängern oder ohne epibenthische Makroflora oder -fauna"
05.02.09.,Sublitorale Sandbank (inkl Megarippelfelder) der Ostsee (Sandbank-Komplex)
05.02.10.,"Sublitoraler, ebener Sandgrund der Ostsee"
05.02.10.01.,"Sublitoraler, ebener Sandgrund der Ostsee mit Epibenthos"
05.02.10.01.01.,"Sublitoraler, ebener Sandgrund der Ostsee mit wurzelnden Pflanzen"
05.02.10.01.01.01.,"Sublitoraler, ebener Sandgrund der Ostsee mit Armleuchteralgen (Characeae) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.01.01.02.,"Sublitoraler, ebener Sandgrund der Ostsee mit Laichkräutern (Potamogeton/Stuckenia) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.01.01.03.,"Sublitoraler, ebener Sandgrund der Ostsee mit Meersalden (Ruppia) - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.01.01.04.,"Sublitoraler, ebener Sandgrund der Ostsee mit Nixkraut (Najas marina) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.01.01.05.,"Sublitoraler, ebener Sandgrund der Ostsee mit Seegräsern (Zostera-Seegraswiesen)"
05.02.10.01.01.06.,"Sublitoraler, ebener Sandgrund der Ostsee mit Teichfaden (Zannichellia palustris) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.01.01.07.,"Sublitoraler, ebener Sandgrund der Ostsee mit Wasserhahnenfuß (Ranunculus peltatus subsp baudotii) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.01.02.,"Sublitoraler, ebener Sandgrund der Ostsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia) (biogenes Riff)"
05.02.10.01.02.01.,"Sublitoraler, ebener Sandgrund der Ostsee mit (lagestabilen) Miesmuscheln (Mytilus) (biogenes Riff)"
05.02.10.01.02.02.,"Sublitoraler, ebener Sandgrund der Ostsee mit (lagestabilen) Wandermuscheln (Dreissena polymorpha) (biogenes Riff) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.01.03.,"Sublitoraler, ebener Sandgrund der Ostsee mit mehrjährigen (nicht festsitzenden) Makroalgen - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.01.04.,"Sublitoraler, ebener Sandgrund der Ostsee mit einjährigen (nicht festsitzenden) Makroalgen"
05.02.10.02.,"Sublitoraler, ebener Sandgrund der Ostsee mit Infauna"
05.02.10.02.01.,"Sublitoraler, ebener Sandgrund der Ostsee mit Brackwassermuschel-Gemeinschaft (Cerastoderma glaucum, Macoma balthica, Mya arenaria)"
05.02.10.02.02.,"Sublitoraler, ebener Sandgrund der Ostsee mit mariner Muschel-Gemeinschaft (Mya truncata, Macoma calcarea, Spisula spp., Astarte spp.) - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.10.02.03.,"Sublitoraler, ebener Sandgrund der Ostsee mit Ophelia-Travisia-Gemeinschaft - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.10.02.04.,"Sublitoraler, ebener Sandgrund der Ostsee mit endobenthischen Krebsen (Crustacea)"
05.02.10.02.05.,"Sublitoraler, ebener Sandgrund der Ostsee mit endobenthischen Muscheln (Bivalvia)"
05.02.10.02.05.01.,"Sublitoraler, ebener Sandgrund der Ostsee mit Astarte - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.10.02.05.02.,"Sublitoraler, ebener Sandgrund der Ostsee mit Baltischen Plattmuscheln (Macoma balthica)"
05.02.10.02.05.03.,"Sublitoraler, ebener Sandgrund der Ostsee mit Großmuscheln (Unionidae) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.10.02.05.04.,"Sublitoraler, ebener Sandgrund der Ostsee mit Herzmuscheln (Cerastoderma)"
05.02.10.02.05.05.,"Sublitoraler, ebener Sandgrund der Ostsee mit Islandmuscheln (Arctica islandica) - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.10.02.05.06.,"Sublitoraler, ebener Sandgrund der Ostsee mit Sandklaffmuscheln (Mya arenaria)"
05.02.10.02.05.07.,"Sublitoraler, ebener Sandgrund der Ostsee mit endobenthischen Muscheln ohne Dominanz spezifischer Arten"
05.02.10.02.06.,"Sublitoraler, ebener Sandgrund der Ostsee mit endobenthischen Priapswürmern (Priapulida) - nur in der offenen Ostsee oder tieferen Buchten und Förden"
05.02.10.02.07.,"Sublitoraler, ebener Sandgrund der Ostsee mit endobenthischen Vielborstern (Polychaeta)"
05.02.10.02.07.01.,"Sublitoraler, ebener Sandgrund der Ostsee mit Marenzelleria"
05.02.10.02.07.02.,"Sublitoraler, ebener Sandgrund der Ostsee mit Opalwürmern (Nephtyidae)"
05.02.10.02.07.03.,"Sublitoraler, ebener Sandgrund der Ostsee mit Seeringelwürmern (Nereididae)"
05.02.10.02.07.04.,"Sublitoraler, ebener Sandgrund der Ostsee mit Wattwürmern (Arenicola marina)"
05.02.10.02.07.05.,"Sublitoraler, ebener Sandgrund der Ostsee mit endobenthischen Vielborstern aber ohne Dominanz spezifischer Arten"
05.02.10.02.08.,"Sublitoraler, ebener Sandgrund der Ostsee mit endobenthischen Zuckmückenlarven (Chironomidae)"
05.02.10.02.09.,"Sublitoraler, ebener Sandgrund der Ostsee ohne Charakterarten oder der Dominanz von spezifischen funktionalen/taxonomischen Gruppen der Infauna"
05.02.10.03.,"Sublitoraler, ebener Sandgrund der Ostsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora oder -fauna"
05.02.11.,Sublitoraler Schlickgrund der Ostsee
05.02.11.01.,Sublitoraler Schlickgrund der Ostsee mit Epibenthos
05.02.11.01.01.,Sublitoraler Schlickgrund der Ostsee mit wurzelnden Pflanzen
05.02.11.01.01.01.,"Sublitoraler Schlickgrund der Ostsee mit Armleuchteralgen (Characeae) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.01.01.02.,"Sublitoraler Schlickgrund der Ostsee mit Laichkräutern (Potamogeton/Stuckenia) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.01.01.03.,"Sublitoraler Schlickgrund der Ostsee mit Meersalden (Ruppia) - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.01.01.04.,"Sublitoraler Schlickgrund der Ostsee mit Nixkraut (Najas marina) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.01.01.05.,Sublitoraler Schlickgrund der Ostsee mit Seegräsern (Zostera-Seegraswiesen)
05.02.11.01.01.06.,"Sublitoraler Schlickgrund der Ostsee mit Teichfaden (Zannichellia palustris) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.01.01.07.,"Sublitoraler Schlickgrund der Ostsee mit Wasserhahnenfuß (Ranunculus peltatus subsp baudotii) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.01.02.,Sublitoraler Schlickgrund der Ostsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia) (biogenes Riff)
05.02.11.01.02.01.,Sublitoraler Schlickgrund der Ostsee mit (lagestabilen) Miesmuscheln (Mytilus) (biogenes Riff)
05.02.11.01.02.02.,"Sublitoraler Schlickgrund der Ostsee mit (lagestabilen) Wandermuscheln (Dreissena polymorpha) (biogenes Riff) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.01.03.,"Sublitoraler Schlickgrund der Ostsee mit mehrjährigen (nicht festsitzenden) Makroalgen - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.01.04.,Sublitoraler Schlickgrund der Ostsee mit einjährigen (nicht festsitzenden) Makroalgen
05.02.11.02.,Sublitoraler Schlickgrund der Ostsee mit Infauna
05.02.11.02.01.,"Sublitoraler Schlickgrund der Ostsee mit Brackwassermuschel-Gemeinschaft (Cerastoderma glaucum, Macoma balthica, Mya arenaria)"
05.02.11.02.02.,Sublitoraler Schlickgrund der Ostsee mit endobenthischen Krebsen (Crustacea)
05.02.11.02.03.,Sublitoraler Schlickgrund der Ostsee mit endobenthischen Muscheln (Bivalvia)
05.02.11.02.03.01.,Sublitoraler Schlickgrund der Ostsee mit Astarte - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.11.02.03.02.,Sublitoraler Schlickgrund der Ostsee mit Baltischen Plattmuscheln (Macoma balthica)
05.02.11.02.03.03.,"Sublitoraler Schlickgrund der Ostsee mit Großmuscheln (Unionidae) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.02.03.04.,"Sublitoraler Schlickgrund der Ostsee mit Herzmuscheln (Cerastoderma) - nur in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.02.03.05.,Sublitoraler Schlickgrund der Ostsee mit Islandmuscheln (Arctica islandica) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.11.02.03.06.,Sublitoraler Schlickgrund der Ostsee mit Macoma calcarea - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.11.02.03.07.,"Sublitoraler Schlickgrund der Ostsee mit Sandklaffmuscheln (Mya arenaria) - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.02.03.08.,Sublitoraler Schlickgrund der Ostsee mit endobenthischen Muscheln ohne Dominanz spezifischer Arten
05.02.11.02.04.,Sublitoraler Schlickgrund der Ostsee mit endobenthischen Priapswürmern (Priapulida) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.11.02.05.,Sublitoraler Schlickgrund der Ostsee mit endobenthischen Vielborstern (Polychaeta)
05.02.11.02.05.01.,"Sublitoraler Schlickgrund der Ostsee mit Marenzelleria - überwiegend in flachen Buchten (Bodden, Haffe), Förden, Lagunen und Ästuaren"
05.02.11.02.05.02.,Sublitoraler Schlickgrund der Ostsee mit Opalwürmern (Nephtyidae) - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.11.02.05.03.,Sublitoraler Schlickgrund der Ostsee mit Scoloplos armiger - nur in der offenen Ostsee oder tieferen Buchten und Förden
05.02.11.02.05.04.,Sublitoraler Schlickgrund der Ostsee mit Seeringelwürmern (Nereididae)
05.02.11.02.05.05.,Sublitoraler Schlickgrund der Ostsee mit Wattwürmern (Arenicola marina)
05.02.11.02.05.06.,Sublitoraler Schlickgrund der Ostsee mit endobenthischen Vielborstern ohne Dominanz spezifischer Arten
05.02.11.02.06.,Sublitoraler Schlickgrund der Ostsee mit endobenthischen Zuckmückenlarven (Chironomidae)
05.02.11.02.07.,Sublitoraler Schlickgrund der Ostsee ohne Charakterarten oder der Dominanz von spezifischen funktionalen/taxonomischen Gruppen der Infauna
05.02.11.03.,"Sublitoraler Schlickgrund der Ostsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora und -fauna"
06.,Saisonales Meereis der Ostsee
07.,Salzgrünland der Nordseeküste (Supralitoral)
07.01.,Unteres Salzgrünland der Nordseeküste (z.B Andelrasen)
07.01.01.,"Unteres Salzgrünland der Nordseeküste, naturnah"
07.01.02.,"Unteres Salzgrünland der Nordseeküste, anthropozoogen überformt"
07.02.,Höhergelegenes Salzgrünland der Nordseeküste (z.B Rotschwingel- und Bottenbinsenrasen)
07.02.01.,"Höhergelegenes Salzgrünland der Nordseeküste, naturnah"
07.02.02.,"Höhergelegenes Salzgrünland der Nordseeküste, anthropozoogen überformt"
07.03.,Strandwiesen der Nordseeküste [Komplex]
07.04.,Brack- und Salzwasserröhricht der Nordseeküste und der Ästuare
07.05.,Brackwasser-Hochstaudenflur der Nordseeküste und der Ästuare
07.05.01.,Brackwasser-Hochstaudenflur der Nordseeküste
07.05.02.,Brackwasser-Hochstaudenflur der (Nordsee-)Ästuare
07.06.,Brackwasserbeeinflusstes Grünland der Nordseeküste und der Ästuare
07.06.01.,Brackwasserbeeinflusstes Grünland der Nordseeküste
07.06.02.,Brackwasserbeeinflusstes Grünland der (Nordsee-)Ästuare
07.07.,Salzgräben vordeichs
08.,"Salzgrünland, Brackwasserröhrichte und Hochstaudenflure des Geoliterorals der Ostseeküste"
08.01.,Salzgrünland des Geolitorals der Ostseeküste (ohne Röhrichte)
08.01.01.,Salzgrünland des Geolitorals der Ostseeküste auf überwiegend minerogenen Böden
08.01.02.,Salzgrünland des Geolitorals der Ostseeküste auf überwiegend organogenen Böden (Küstenüberflutungsmoor)
08.02.,Brackwasserröhrichte der Ostseeküste (Übergangsbereich Hydro- und Geolitoral)
08.02.01.,Ungenutztes Brackwasserröhricht der Ostseeküste
08.02.02.,Genutztes Brackwasserröhricht der Ostseeküste
08.03.,Brackwasser-Hochstaudenfluren der Ostseeküste
08.03.01.,Brackwasser-Hochstaudenflur der Ostseeküste auf überwiegend minerogenen Böden
08.03.02.,Brackwasser-Hochstaudenflur der Ostseeküste auf überwiegend organogenen Böden (Küstenüberflutungsmoore)
08.04.,"Schlenke, Kolk und Rinne des Geolitorals der Ostseeküste mit Pioniervegetation (u.a Queller)"
08.05.,Strandwiesen der Ostseeküste [Komplex]
08.06.,Brackwassergraben
09.,"Sande, Sand-, Geröll und Blockstrände"
09.01.,"Sandbank, Außensand und Nehrungshaken"
09.02.,Sandstrände und Sandplaten
09.02.01.,Naturnaher Sandstrand ohne Makrophyten
09.02.02.,Naturnaher Sandstrand mit Sand- und Salzpflanzenvegetation
09.02.03.,Bade-Sandstrand
09.03.,Kies- und Geröllstrände
09.03.01.,Kies- und Geröllstrand ohne Makrophytenvegetation
09.03.02.,Kies- und Geröllstrand mit Makrophytenvegetation
09.04.,Blockstrände
09.04.01.,Blockstrand ohne oder mit sehr lückiger Makrophytenvegetation
09.04.02.,Blockstrand mit Makrophytenvegetation
09.05.,Strandwälle
09.05.01.,Strandwall ohne oder mit sehr lückiger Makrophytenvegetation
09.05.02.,Strandwall mit krautiger Makrophytenvegetation
09.05.03.,Strandwälle mit Gebüschvegetation
09.05.03.01.,Strandwallgebüsch mit Sanddorn
09.05.03.02.,Strandwallgebüsch mit anderen autochthonen Arten (z.B Rosa pimpinellifolia)
09.05.03.03.,Strandwallgebüsch mit nicht autochthonen Arten (z.B Rosa rugosa)
09.06.,Strandgewässer
09.06.01.,Strandsee (mit Tiefenzone)
09.06.02.,Strandflachsee
09.06.03.,Strandtümpel
10.,Küstendünen
10.01.,Vordüne
10.02.,Weißdüne
10.03.,Graudünen (Dünenrasen)
10.03.01.,Dünenpionierrasen mit einjähriger lückiger Vegetation
10.03.02.,Dünenrasen mit geschlossener Narbe und überwiegend ausdauernden Arten
10.04.,Braundünen (Küstendünenheiden)
10.04.01.,Krähenbeer-Heide der Küstendünen
10.04.02.,Calluna-Heide auf Küstendünen
10.05.,"Feuchte/nasse Dünentäler, inkl Dünenmoore [Komplex]"
10.05.01.,Feuchtes/nasses Dünental mit stehendem Gewässer
10.05.02.,Feuchtes/nasses Dünental mit Pioniervegetation
10.05.03.,Feuchtes/nasses Dünental mit Vermoorungen (Dünenmoor)
10.05.04.,Feuchtes/nasses Dünental mit Salzgrünland
10.05.05.,"Feuchtes/nasses Dünental mit Röhricht-, Ried- oder Hochstaudenfragmenten"
10.06.,Dünengebüsche
10.06.01.,Dünengebüsch mit Sanddorn
10.06.02.,Dünengebüsch mit Kriechweiden-Teppich
10.06.03.,Sonstiges Dünengebüsch mit anderen autochthonen Arten (z.B Rosa pimpinellifolia)
10.06.04.,Dünengebüsch mit nicht autochthonen Arten (z.B Rosa rugosa)
10.07.,Wanderdüne
11.,Fels- und Steilküsten
11.01.,Sandstein-Felsküste (Helgoland)
11.02.,Kreide-Felsküste (Ostsee)
11.03.,Geestkliff der Nordseeküste und -inseln
11.03.01.,"Geestkliff, aktiv"
11.03.02.,"Geestkliff, inaktiv"
11.04.,Moränensteilküsten der Ostsee
11.04.01.,"Moränensteilküste, aktiv"
11.04.02.,"Moränensteilküste, inaktiv"
21.,Grundwasser und Höhlengewässer
21.01.,Grundwasser
21.01.01.,Kalkarmes Grundwasser
21.01.02.,Kalkreiches Grundwasser
21.02.,Höhlenbäche
21.02.01.,Kalkarmer Höhlenbach
21.02.02.,Kalkreicher Höhlenbach
21.03.,Höhlenseen
21.03.01.,Kalkarmer Höhlensee
21.03.02.,Kalkreicher Höhlensee
22.,Quellen
22.01.,Sicker- und Sumpfquellen (Helokrenen)
22.01.01.,Kalkarme Sicker- und Sumpfquelle
22.01.02.xx.,Kalkreiche Sicker- und Sumpfquellen
22.02.,Grundquellen (Limnokrenen)
22.02.01.,Kalkarme Grundquelle
22.02.02.,Kalkreiche Grundquelle
22.03.,Sturzquellen (Rheokrenen)
22.03.01.,Kalkarme Sturzquelle
22.03.02.xx.,Kalkreiche Sturzquellen
22.04.,Salz- oder Solquellen
22.04.01.,Salzhaltige Sicker- und Sumpfquelle (Helokrene)
22.04.02.,Salzhaltige Grundquelle (Limnokrene)
22.04.03.,Salzhaltige Sturzquelle (Rheokrene)
22.05.,Künstlich gefasste Quellen
22.05.01.,"Künstlich gefasste, kalkarme Quelle"
22.05.02.,"Künstlich gefasste, kalkreiche Quelle"
23.,Fließgewässer
23.01.,Natürliche und naturnahe Fließgewässer
23.01.01.,Natürliches und naturnahes Rhithral
23.01.01.01.,Natürliches oder naturnahes Rhithral mit Geröll- oder Schotter-Sohlsubstrat
23.01.01.02.,Natürliches oder naturnahes Rhithral mit Grobkies- oder Kies-Sohlsubstrat
23.01.01.03.,Natürliches oder naturnahes Rhithral mit Sand-Sohlsubstrat
23.01.01.04.,Natürliches oder naturnahes Rhithral mit Feinsediment-Sohlsubstrat
23.01.01.05.,Natürliches oder naturnahes Rhithral mit organischem Sohlsubstrat
23.01.02.,Natürliches und naturnahes Potamal
23.01.02.01.,Natürliches oder naturnahes Potamal mit Grobkies- oder Kies-Sohlsubstrat
23.01.02.02.,Natürliches oder naturnahes Potamal mit Sand-Sohlsubstrat
23.01.02.03.,Natürliches oder naturnahes Potamal mit Feinsediment-Sohlsubstrat
23.01.02.04.,Natürliches oder naturnahes Potamal mit organischem Sohlsubstrat
23.02.,Anthropogen mäßig beeinträchtigte Fließgewässer
23.02.01.,Anthropogen mäßig beeinträchtigtes Rhithral
23.02.01.01.,Anthropogen mäßig beeinträchtigtes Rhithral mit Geröll- oder Schotter-Sohlsubstrat
23.02.01.02.,Anthropogen mäßig beeinträchtigtes Rhithral mit Grobkies- oder Kies-Sohlsubstrat
23.02.01.03.,Anthropogen mäßig beeinträchtigtes Rhithral mit Sand-Sohlsubstrat
23.02.01.04.,Anthropogen mäßig beeinträchtigtes Rhithral mit Feinsediment-Sohlsubstrat
23.02.01.05.,Anthropogen mäßig beeinträchtigtes Rhithral mit organischem Sohlsubstrat
23.02.02.,Anthropogen mäßig beeinträchtigtes Potamal
23.02.02.01.,Anthropogen mäßig beeinträchtigtes Potamal mit Grobkies- oder Kies-Sohlsubstrat
23.02.02.02.,Anthropogen mäßig beeinträchtigtes Potamal mit Sand-Sohlsubstrat
23.02.02.03.,Anthropogen mäßig beeinträchtigtes Potamal mit Feinsediment-Sohlsubstrat
